KPF,KPL,PNV,First Sentence in First Paragraph,First sentence in last Paragraph,First sentence in any of other paragraphs,Sentence location in other paragraphs,Sentence location in first and last paragraph,cosine Similarity with title,common keyphrases with title,sentence centrality,sentence length is short/long,sentence length equation,cue phrases,strong words,number scores,sentence begins with weak word,weak word score in other location in sentence,Label
0.416666667,1,0,1,0,0,0,0,0.360242759,1,0.6,0,0.555555556,0,0,0.111111111,0,0,0
0,0,0,0,0,0,0,0.707106781,0,0,0.6,0,0.5,0,0,0,0,0,0
0.083333333,1,0,0,0,0,0,0.577350269,0,0,0.4,0,0.277777778,0,0,0,0,0,1
0.166666667,0,0,0,0,0,0,0.5,0,0,0.6,0,0.277777778,0,0,0.111111111,0,0,0
0.083333333,1,0,0,0,1,0,0,0,0,1,0,0.555555556,0,0,0,0,0,0
0.083333333,1,0,0,0,0,0.40824829,0,0,0,0.4,0,0.277777778,0,0,0,0,0,0
0.458333333,0,0,0,0,1,0,0,0.054218589,1,0.8,0,0.666666667,0,0,0,0,0,1
0.208333333,0,0,0,0,0,0.301511345,0,0,0,0.6,0,0.333333333,0,0,0,0,0,0
0,0,0,0,0,0,0.288675135,0,0,0,0.6,0,0.166666667,0,0,0,0,0,0
0.375,1,1,0,0,1,0,0,0.049131103,1,0.4,0,0.833333333,0,0,0.444444444,0,0,0
0.375,0,0,0,0,0,0.23570226,0,0,0,0.8,0,0.611111111,0,0,0.111111111,0,0,0
0,0,0,0,0,0,0.229415734,0,0,0,0.2,0,0.666666667,0,0,0,0,-0.071428571,1
0.458333333,0,0,0,0,0,0.223606798,0,0.033175749,1,0.4,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0.21821789,0,0,0,0.8,0,0.444444444,0,0,0,0,0,0
0,0,0,0,0,0,0.213200716,0,0,1,0.2,0,0.5,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0.8,0,0.666666667,1,0,0.111111111,0,0,1
0.291666667,0,1,0,0,0,0.19245009,0,0.063037558,1,0.2,0,0.833333333,0,0,0,0,-0.043478261,0
0.291666667,0,1,0,0,0,0.188982237,0,0.072723766,1,0.2,0,0.388888889,0,0,0,0,0,0
0,0,0,0,0,0,0.185695338,0,0,0,0.4,0,0.722222222,0,0,0,0,0,0
0,0,0,0,0,0,0.182574186,0,0,0,0.2,0,0.388888889,0,0,0,0,0,0
0.208333333,0,0,0,0,0,0.179605302,0,0,0,0.8,0,0.444444444,0,0,0,0,0,0
0,0,0,0,0,0,0.176776695,0,0,0,0.8,0,0.333333333,0,0,0,0,0,0
0.291666667,0,1,0,1,0,0,0,0.042522436,1,0.8,0,1,0,0,0.111111111,0,0,0
0.208333333,0,0,0,0,0,0,0.707106781,0,0,0.6,0,0.388888889,0,0,0,0,0,0
0,0,0,0,0,0,0,0.577350269,0,0,0.6,0,0.944444444,0,0,0,0,0,0
0,0,0,0,0,0,0,0.5,0,0,0.4,0,0.333333333,0,0,0,0,0,0
0.291666667,0,0,0,0,0,0,0.447213595,0,0,0.4,0,0.444444444,0,0,0,0,0,0
0,0,0,0,0,0,0,0.40824829,0,0,0.6,0,0.5,0,0,0,0,0,0
